02385813-v	cinema theatre
01719302-v	humanities cinema play art telecommunication theatre
00112843-r	electronics soccer mathematics money factotum pure_science cinema computer_science military economy electrotechnology art tax exchange commerce insurance enterprise
06616464-n	racing cinema telecommunication sociology drawing photography
06282651-n	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
02513740-a	quality mythology cinema occultism sociology theatre
00046534-v	cinema theatre fashion tv
02743261-a	literature astronautics architecture engineering philosophy publishing psychological_features humanities school social_science astrology theology psychology tv religion pure_science art dance folklore quality anthropology cinema paranormal history acoustics occultism
10875107-n	cinema theatre
03665366-n	electrotechnology mechanics fishing physics nautical theatre photography telegraphy furniture tv aviation electricity vehicles transport atomic_physic optics electronics cinema jewellery telecommunication radio railway color hunting sub
00044149-v	cinema theatre fashion
05018934-n	cinema acoustics physics tv
03003344-a	diplomacy book_keeping administration factotum agriculture electrotechnology person telephony mechanics gastronomy fishing betting social card music biology astrology baseball veterinary post drawing telegraphy time_period archery furniture food dance chemistry bowling sexuality anthropology philately military grammar oceanography radio exchange railway color architecture numismatics rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology philology geography town_planning religion industry art medicine graphic_arts transport chess swimming cinema paranormal hydraulics history jewellery telecommunication radiology statistics sculpture cycling buildings plastic_arts rugby fencing sociology philosophy racing school money psychoanalysis finance university play genetics entomology football boxing diving theatre mathematics biochemistry animal_husbandry pure_science economy tax archaeology volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy psychiatry pharmacy meteorology heraldry politics basketball anatomy banking environment skating geology home humanities tennis wrestling plants social_science number linguistics badminton commerce photography theology enterprise psychology dentistry gas tv computer_science aviation electricity body_care fashion folklore vehicles surgery atomic_physic optics paleontology quality soccer free_time painting physiology acoustics applied_science roman_catholic hunting artisanship
04067658-n	cinema photography optics
10633450-n	physiology painting tourism cinema sport aviation architecture person sexuality theatre archaeology optics
03708036-n	electronics tv cinema computer_science music electricity telecommunication acoustics mechanics radio photography radio+tv
08222966-n	cinema theatre
01712704-v	plastic_arts humanities athletics painting cinema sport music computer_science aviation artisanship art dance telecommunication mountaineering fashion graphic_arts theatre drawing skating
04391838-n	tv cinema music electricity telecommunication mechanics radio
01835496-v	diplomacy book_keeping factotum agriculture electrotechnology person telephony mechanics fishing betting card music astrology baseball post drawing telegraphy time_period archery furniture dance bowling sexuality philately military oceanography radio railway exchange architecture rowing physics metrology skiing nautical insurance engineering publishing psychological_features mythology athletics hockey animals geometry law topography tourism ethnology geography town_planning religion industry art medicine transport chess swimming cinema paranormal hydraulics history telecommunication statistics cycling buildings rugby fencing sociology racing school finance play entomology football boxing diving theatre mathematics animal_husbandry pure_science economy tax volleyball electronics sport mountaineering table_tennis golf health earth cricket occultism sub literature astronautics pedagogy astronomy meteorology heraldry politics basketball anatomy banking environment skating geology home tennis wrestling badminton commerce photography enterprise psychology gas tv computer_science aviation electricity fashion folklore vehicles atomic_physic optics quality soccer free_time physiology acoustics roman_catholic hunting artisanship
09811112-n	telecommunication cinema theatre tv
03529860-n	buildings town_planning tv cinema theatre
04405907-n	telegraphy literature electronics astronautics furniture tv radio+tv cinema computer_science art electricity electrotechnology telecommunication telephony mechanics radio theatre photography enterprise
